family,specialization,compile_spec_hash,comparison_semantic_key,symbol_sha256,threads_per_cta,gpr_452,gpr_460,gpr_delta,r_set_452,r_set_460,r_count_452,r_count_460,r_count_delta,r_max_452,r_max_460,r_max_delta,ur_set_452,ur_set_460,ur_count_452,ur_count_460,ur_count_delta,ur_max_452,ur_max_460,ur_max_delta,p_set_452,p_set_460,p_count_452,p_count_460,p_count_delta,p_max_452,p_max_460,p_max_delta,up_set_452,up_set_460,up_count_452,up_count_460,up_count_delta,up_max_452,up_max_460,up_max_delta,effective_ceiling_452,effective_ceiling_460,effective_ceiling_delta,reconfig_452,reconfig_460,frame_bytes_452,frame_bytes_460,frame_bytes_delta,stack_bytes_452,stack_bytes_460,stack_bytes_delta,ldl_452,ldl_460,ldl_delta,stl_452,stl_460,stl_delta,local_452,local_460,dynamic_smem_bytes_452,dynamic_smem_bytes_460,dynamic_smem_bytes_delta,static_smem_bytes_452,static_smem_bytes_460,static_smem_bytes_delta,total_smem_bytes_452,total_smem_bytes_460,total_smem_bytes_delta,active_ctas_per_sm_452,active_ctas_per_sm_460,active_ctas_per_sm_delta,active_threads_per_sm_452,active_threads_per_sm_460,active_threads_per_sm_delta,sass_instructions_452,sass_instructions_460,sass_instructions_delta,code_bytes_452,code_bytes_460,code_bytes_delta,flags
attention.mla.sm120.decode,mla.unified.glm.decode.main,4a08fd70cf2a72687d46528da3fac6e0d14ec2cf21ad69b19b66651bd06d4200,6c1071211a41dabaa2f492e2808e6b6a5ca41dba27922411ba4847e1582b4b1f,95820e8b70560e8f190a6348ade8e26ee0b9bf1cb4a2cf2b1f0cbba35b2c6272,160,163,165,2,0-130;132;134-158;160,0-126;128;130;132-162,158,160,2,160,162,2,4-10;12-17,4-8;10-16;18-19,13,14,1,17,19,2,0-6,0-6,7,7,0,6,6,0,0-3,0,4,1,-3,3,0,-3,163,165,2,D:|A:,D:|A:,0,0,0,0,0,0,0,0,0,0,0,0,false,false,101248,101248,0,0,0,0,101248,101248,0,1,1,0,160,160,0,2328,2280,-48,37248,36480,-768,GPR+;R+;UR+;reg-set-change
attention.mla.sm120.decode,mla.unified.glm.decode.per_token,b2bbb8e080e5ceea33d603c3fdc336266ba2fe1209ac683c9e74919125c4103d,56e8bdf7078c8357b10d312f19fcdc55d79649f21ee19c6a174ecd32ed8a3f5b,e19fa0114aa4e59c95a4e80eb2ab7e4b4852fe22aff8706757f2d323b6234f4f,160,163,166,3,0-130;132;134-160,0-126;128;130;132-163,159,161,2,160,163,3,4-10;12-17,4-8;10-17,13,13,0,17,17,0,0-6,0-6,7,7,0,6,6,0,0-3,0,4,1,-3,3,0,-3,163,166,3,D:|A:,D:|A:,0,0,0,0,0,0,0,0,0,0,0,0,false,false,101248,101248,0,0,0,0,101248,101248,0,1,1,0,160,160,0,2328,2280,-48,37248,36480,-768,GPR+;R+;reg-set-change
attention.mla.sm120.prefill_mg,mla.unified.prefill_mg.dsv4.fp8.hg1,57d0b16e1c98aadb68c48b8913aa9486aeeee88f8a6ec3118061aa6cf9cb56fa,54d335da912aa69d1a1a15061387039521ab58f7b97989a67482265ba8f42551,7340a143254ce0c2edf0c9e079868ad959a9a2db1e60cabf27602d3c18033ba1,384,168,168,0,0-114;116-120;124-128;132-136;140-148;152-160;164-168;172-216;220-229,0-132;134-229,208,229,21,229,229,0,4-10;12-14;16-18;20-21,4-12;14-16;18;20-21,15,15,0,21,21,0,0-6,0-6,7,7,0,6,6,0,0-1,0,2,1,-1,1,0,-1,232,232,0,D:32|A:232,D:32|A:232,32,16,-16,32,16,-16,9,2,-7,5,2,-3,true,true,74496,74496,0,0,0,0,74496,74496,0,1,1,0,384,384,0,2096,1952,-144,33536,31232,-2304,R+;reg-set-change;local-current
attention.mla.sm120.prefill_mg,mla.unified.prefill_mg.dsv4.fp8.hg2,08e456f5a5daca77e6036fb8613c733d2e929c78b12ecbf8260faa07bd10c334,eca041cdb19120e09f4b8207bbb86833e8dedb051a2029f5f5b950937dda4391,7340a143254ce0c2edf0c9e079868ad959a9a2db1e60cabf27602d3c18033ba1,384,168,168,0,0-174;176-237,0-180;182-237,237,237,0,237,237,0,4-14;16-22;24-27,4-12;14;16-26,22,21,-1,27,26,-1,0-6,0-5,7,6,-1,6,5,-1,0-1,0,2,1,-1,1,0,-1,240,240,0,D:24|A:240,D:24|A:240,16,0,-16,16,0,-16,12,0,-12,3,0,-3,true,false,88448,88448,0,0,0,0,88448,88448,0,1,1,0,384,384,0,2968,2936,-32,47488,46976,-512,reg-set-change
attention.mla.sm120.prefill_mg,mla.unified.prefill_mg.dsv4.bf16.hg1,83283d9b086d44c3d228643246f7041fb30acba6080381873bd001d19a08cf90,f44054ae6600feb82ad72fafa9b5eae471e989c426324159aa844d3869c3ce62,6bce885f889565b28ee2808633ec10791515af99677320e7ac0901ed79d80aa3,384,168,168,0,0-68;70-134;136-229,0-86;88-100;104;108-176;180;184;188;192-216;218;220-222;224-229,228,208,-20,229,229,0,4-12;14;16-17,4-8;10-20;22;24;26;28;30;32;34;36,12,24,12,17,36,19,0-6,0-6,7,7,0,6,6,0,0-1,0,2,1,-1,1,0,-1,232,232,0,D:32|A:232,D:32|A:232,40,24,-16,40,24,-16,12,16,4,6,6,0,true,true,79104,79104,0,0,0,0,79104,79104,0,1,1,0,384,384,0,2056,2008,-48,32896,32128,-768,UR+;reg-set-change;LDL+;local+;local-current
attention.mla.sm120.prefill_mg,mla.unified.prefill.main,39b912c432760c48e04b7f3fda79b8810b316732a5e248c8a34d975a38dc8653,e5de7dca934ea892d51538416e6c570e479dee34ed9ee0ea63c8246f4b76ac9b,6bce885f889565b28ee2808633ec10791515af99677320e7ac0901ed79d80aa3,384,168,168,0,0-68;70-134;136-229,0-86;88-100;104;108-176;180;184;188;192-216;218;220-222;224-229,228,208,-20,229,229,0,4-12;14;16-17,4-8;10-20;22;24;26;28;30;32;34;36,12,24,12,17,36,19,0-6,0-6,7,7,0,6,6,0,0-1,0,2,1,-1,1,0,-1,232,232,0,D:32|A:232,D:32|A:232,40,24,-16,40,24,-16,12,16,4,6,6,0,true,true,79104,79104,0,0,0,0,79104,79104,0,1,1,0,384,384,0,2088,2032,-56,33408,32512,-896,UR+;reg-set-change;LDL+;local+;local-current
attention.mla.sm120.prefill_mg,mla.unified.prefill.dual,f0733c7befb15907efc9254bc5dbe57d481314133add47ed771cf20bba64c4c1,a8ba67ad07a6669bf4149165668abdf72102d250da584b91e6cc3126676bcbee,dbf11c4744fde563be44c1d833a41f552a5e64137d2663abd51bbb55e85d5ebb,384,168,168,0,0-52;54;56;58;60-62;64-126;128;130;132;134-215;217,0-128;130;132;134;136-204;206;208;210;212;214;216;218;220;222;224;226;228,208,213,5,217,228,11,4-16;18;20-22;24,4-16;18;20-22;24;26-27,18,20,2,24,27,3,0-6,0-6,7,7,0,6,6,0,0-1,0,2,1,-1,1,0,-1,232,232,0,D:32|A:232,D:32|A:232,0,0,0,0,0,0,0,0,0,0,0,0,false,false,79104,79104,0,0,0,0,79104,79104,0,1,1,0,384,384,0,2400,2336,-64,38400,37376,-1024,R+;UR+;reg-set-change
attention.mla.sm120.prefill_mg,mla.unified.prefill_mg.dsv4.bf16.hg2,ea673f66ef9d6ac8bc145270f4c191851e31cea39ce4dbd8060fc5df0f3f5ce5,4f74378b40f82b8533b01f64dd487bd533e1c7057c03c16c521a2d4d3b69d85c,6bce885f889565b28ee2808633ec10791515af99677320e7ac0901ed79d80aa3,384,168,168,0,0-72;76;80;84;88;92;96;100;104-186;188-229,0-72;76;80;84;88;92;96;100;104-186;188-229,205,205,0,229,229,0,4-8;10-20;22,4-12;14-22;24;26;28-29,17,22,5,22,29,7,0-6,0-6,7,7,0,6,6,0,0-1,0,2,1,-1,1,0,-1,232,232,0,D:32|A:232,D:32|A:232,0,0,0,0,0,0,0,0,0,0,0,0,false,false,97792,97792,0,0,0,0,97792,97792,0,1,1,0,384,384,0,2536,2488,-48,40576,39808,-768,UR+;reg-set-change
attention.mla.sm120.prefill_mg,mla.unified.prefill_mg.glm.fp8.hg1,5dbb403072ad198b4d55c430c4cde20e1d9b1a61ad6aebe0b041b0aaf8e6e61b,dfeac11c829ecb1001b270f215a108f96440c2779644d5bfe8effb34c6cddbb7,1634fe53ce1cefa052c278625d5bae76e818cbc52dedbf3be990a8ac6f9a5e3d,384,168,168,0,0-48;50;52;54;56;58;60;64-130;132;134;136;138-140;142;144;146,0-48;50;52;54;56;58;60;64-130;132-142;144;146;148,131,136,5,146,148,2,4-10;12-18;20-21,4-10;12-21,16,17,1,21,21,0,0-6,0-6,7,7,0,6,6,0,0-1,0,2,1,-1,1,0,-1,232,232,0,D:32|A:232,D:32|A:232,0,0,0,0,0,0,0,0,0,0,0,0,false,false,80256,80256,0,0,0,0,80256,80256,0,1,1,0,384,384,0,2392,2344,-48,38272,37504,-768,R+;UR+;reg-set-change
attention.mla.sm120.prefill_mg,mla.unified.prefill_mg.glm.fp8.hg2,cbec33749ceac101c43b1b3e6648f900363fec59504666102ec4bc8643ba4166,c063672dfe288461ec916bbe55bd3c4097c4396a832ec4ac1176e3aa6a566de6,1634fe53ce1cefa052c278625d5bae76e818cbc52dedbf3be990a8ac6f9a5e3d,384,168,168,0,0-72;76;80;84;88;92;96;100;104-198;200-217;219;221;223,0-64;66;68;72;76;80;84;88;92;96-198;200-220;222;224;226,196,200,4,223,226,3,4-10;12-22,4-14;16-25,18,21,3,22,25,3,0-6,0-6,7,7,0,6,6,0,0-1,0-1,2,2,0,1,1,0,232,232,0,D:32|A:232,D:32|A:232,0,0,0,0,0,0,0,0,0,0,0,0,false,false,92800,92800,0,0,0,0,92800,92800,0,1,1,0,384,384,0,4304,4240,-64,68864,67840,-1024,R+;UR+;reg-set-change
